"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Lubelskie",6,0.2,0,0,6,100,0,0,"1-7","luty","2022","5","2A"
"Lubuskie",0,0,0,0,0,0,0,0,"1-7","luty","2022","5","2A"
"Łódzkie",4,0.1,0,0,4,100,0,0,"1-7","luty","2022","5","2A"
"Małopolskie",15,0.21,0,0,10,66.7,5,33.3,"1-7","luty","2022","5","2A"
"Mazowieckie",8,0.06,2,25,6,75,0,0,"1-7","luty","2022","5","2A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","luty","2022","5","2A"
"Podkarpackie",3,0.24,0,0,3,100,0,0,"1-7","luty","2022","5","2A"
"Podlaskie",1,0.07,0,0,1,100,0,0,"1-7","luty","2022","5","2A"
"Pomorskie",15,0.1,0,0,13,86.7,2,13.3,"1-7","luty","2022","5","2A"
"Śląskie",15,0.16,0,0,14,93.3,1,6.7,"1-7","luty","2022","5","2A"
"Świętokrzyskie",5,0.19,0,0,5,100,0,0,"1-7","luty","2022","5","2A"
"Warmińsko-Mazurskie",13,0.85,0,0,13,100,0,0,"1-7","luty","2022","5","2A"
"Wielkopolskie",24,0.18,1,4.2,23,95.8,0,0,"1-7","luty","2022","5","2A"
"Zachodniopomorskie",1,0.13,0,0,1,100,0,0,"1-7","luty","2022","5","2A"
"Dolnośląskie",26,0.6,0,0,26,100,0,0,"8-15","luty","2022","6","2B"
"Kujawsko-Pomorskie",14,0.25,0,0,14,100,0,0,"8-15","luty","2022","6","2B"
"Lubelskie",1,0.03,0,0,1,100,0,0,"8-15","luty","2022","6","2B"
"Lubuskie",2,0.24,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Łódzkie",6,0.16,0,0,6,100,0,0,"8-15","luty","2022","6","2B"
"Małopolskie",10,0.16,0,0,10,100,0,0,"8-15","luty","2022","6","2B"
"Mazowieckie",15,0.11,1,6.7,14,93.3,0,0,"8-15","luty","2022","6","2B"
"Opolskie",3,0.3,0,0,3,100,0,0,"8-15","luty","2022","6","2B"
"Podkarpackie",4,0.22,0,0,2,50,2,50,"8-15","luty","2022","6","2B"
"Podlaskie",2,0.22,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Pomorskie",2,0.01,0,0,2,100,0,0,"8-15","luty","2022","6","2B"
"Śląskie",17,0.2,0,0,17,100,0,0,"8-15","luty","2022","6","2B"
"Świętokrzyskie",6,0.39,0,0,6,100,0,0,"8-15","luty","2022","6","2B"
"Warmińsko-Mazurskie",12,0.51,0,0,12,100,0,0,"8-15","luty","2022","6","2B"
"Wielkopolskie",15,0.13,1,6.7,14,93.3,0,0,"8-15","luty","2022","6","2B"
"Zachodniopomorskie",1,0.14,0,0,1,100,0,0,"8-15","luty","2022","6","2B"
"Dolnośląskie",17,0.43,0,0,17,100,0,0,"16-22","luty","2022","7","2C"
"Kujawsko-Pomorskie",5,0.11,0,0,5,100,0,0,"16-22","luty","2022","7","2C"
"Lubelskie",1,0.05,0,0,0,0,1,100,"16-22","luty","2022","7","2C"
"Lubuskie",0,0,0,0,0,0,0,0,"16-22","luty","2022","7","2C"
"Łódzkie",7,0.3,0,0,7,100,0,0,"16-22","luty","2022","7","2C"
"Małopolskie",10,0.18,0,0,8,80,2,20,"16-22","luty","2022","7","2C"
"Mazowieckie",8,0.08,0,0,6,75,2,25,"16-22","luty","2022","7","2C"
"Opolskie",2,0.27,0,0,2,100,0,0,"16-22","luty","2022","7","2C"
"Podkarpackie",1,0.12,0,0,1,100,0,0,"16-22","luty","2022","7","2C"
"Podlaskie",1,0.12,0,0,1,100,0,0,"16-22","luty","2022","7","2C"
"Pomorskie",21,0.21,2,9.5,19,90.5,0,0,"16-22","luty","2022","7","2C"
"Śląskie",16,0.27,0,0,14,87.5,2,12.5,"16-22","luty","2022","7","2C"
"Świętokrzyskie",4,0.42,0,0,4,100,0,0,"16-22","luty","2022","7","2C"
"Warmińsko-Mazurskie",14,0.79,0,0,14,100,0,0,"16-22","luty","2022","7","2C"
"Wielkopolskie",27,0.23,0,0,27,100,0,0,"16-22","luty","2022","7","2C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","luty","2022","7","2C"
"Dolnośląskie",3,0.13,0,0,3,100,0,0,"23-28","luty","2022","8","2D"
"Kujawsko-Pomorskie",6,0.16,2,33.3,4,66.7,0,0,"23-28","luty","2022","8","2D"
"Lubelskie",1,0.06,0,0,1,100,0,0,"23-28","luty","2022","8","2D"
"Lubuskie",2,0.27,0,0,2,100,0,0,"23-28","luty","2022","8","2D"
"Łódzkie",5,0.21,0,0,5,100,0,0,"23-28","luty","2022","8","2D"
"Małopolskie",6,0.14,0,0,6,100,0,0,"23-28","luty","2022","8","2D"
"Mazowieckie",4,0.04,2,50,2,50,0,0,"23-28","luty","2022","8","2D"
"Opolskie",0,0,0,0,0,0,0,0,"23-28","luty","2022","8","2D"
"Podkarpackie",0,0,0,0,0,0,0,0,"23-28","luty","2022","8","2D"
"Podlaskie",4,0.42,0,0,4,100,0,0,"23-28","luty","2022","8","2D"
"Pomorskie",10,0.12,0,0,10,100,0,0,"23-28","luty","2022","8","2D"
"Śląskie",7,0.16,0,0,7,100,0,0,"23-28","luty","2022","8","2D"
"Świętokrzyskie",2,0.17,0,0,2,100,0,0,"23-28","luty","2022","8","2D"
"Warmińsko-Mazurskie",13,0.91,0,0,13,100,0,0,"23-28","luty","2022","8","2D"
"Wielkopolskie",18,0.21,0,0,18,100,0,0,"23-28","luty","2022","8","2D"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"23-28","luty","2022","8","2D"
"Dolnośląskie",29,0.86,0,0,29,100,0,0,"1-7","marzec","2022","9","3A"
"Kujawsko-Pomorskie",10,0.25,0,0,10,100,0,0,"1-7","marzec","2022","9","3A"
"Lubelskie",3,0.14,0,0,3,100,0,0,"1-7","marzec","2022","9","3A"
"Lubuskie",1,0.13,0,0,1,100,0,0,"1-7","marzec","2022","9","3A"
"Łódzkie",0,0,0,0,0,0,0,0,"1-7","marzec","2022","9","3A"
"Małopolskie",15,0.26,2,13.3,9,60,4,26.7,"1-7","marzec","2022","9","3A"
"Mazowieckie",5,0.04,1,20,4,80,0,0,"1-7","marzec","2022","9","3A"
"Opolskie",0,0,0,0,0,0,0,0,"1-7","marzec","2022","9","3A"
"Podkarpackie",2,0.32,0,0,2,100,0,0,"1-7","marzec","2022","9","3A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","marzec","2022","9","3A"
"Pomorskie",16,0.16,4,25,13,81.3,0,0,"1-7","marzec","2022","9","3A"
"Śląskie",17,0.3,1,5.9,16,94.1,0,0,"1-7","marzec","2022","9","3A"
"Świętokrzyskie",1,0.04,0,0,1,100,0,0,"1-7","marzec","2022","9","3A"
"Warmińsko-Mazurskie",15,1.06,0,0,15,100,0,0,"1-7","marzec","2022","9","3A"
"Wielkopolskie",23,0.19,0,0,23,100,0,0,"1-7","marzec","2022","9","3A"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"1-7","marzec","2022","9","3A"
"Dolnośląskie",21,0.54,0,0,21,100,0,0,"8-15","marzec","2022","10","3B"
"Kujawsko-Pomorskie",23,0.41,0,0,23,100,0,0,"8-15","marzec","2022","10","3B"
"Lubelskie",1,0.04,0,0,1,100,0,0,"8-15","marzec","2022","10","3B"
"Lubuskie",1,0.08,0,0,1,100,0,0,"8-15","marzec","2022","10","3B"
"Łódzkie",19,0.66,0,0,19,100,0,0,"8-15","marzec","2022","10","3B"
"Małopolskie",18,0.23,0,0,15,83.3,3,16.7,"8-15","marzec","2022","10","3B"
"Mazowieckie",5,0.04,0,0,5,100,0,0,"8-15","marzec","2022","10","3B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","marzec","2022","10","3B"
"Podkarpackie",7,0.59,0,0,6,85.7,1,14.3,"8-15","marzec","2022","10","3B"
"Podlaskie",5,0.34,0,0,5,100,0,0,"8-15","marzec","2022","10","3B"
"Pomorskie",28,0.19,0,0,25,89.3,3,10.7,"8-15","marzec","2022","10","3B"
"Śląskie",17,0.2,0,0,17,100,0,0,"8-15","marzec","2022","10","3B"
"Świętokrzyskie",2,0.18,0,0,1,50,1,50,"8-15","marzec","2022","10","3B"
"Warmińsko-Mazurskie",13,0.66,0,0,13,100,0,0,"8-15","marzec","2022","10","3B"
"Wielkopolskie",42,0.3,0,0,42,100,0,0,"8-15","marzec","2022","10","3B"
"Zachodniopomorskie",2,0.2,0,0,2,100,0,0,"8-15","marzec","2022","10","3B"
"Dolnośląskie",6,0.15,0,0,6,100,0,0,"16-22","marzec","2022","11","3C"
"Kujawsko-Pomorskie",8,0.16,0,0,8,100,0,0,"16-22","marzec","2022","11","3C"
"Lubelskie",1,0.04,0,0,1,100,0,0,"16-22","marzec","2022","11","3C"
"Lubuskie",3,0.33,0,0,3,100,0,0,"16-22","marzec","2022","11","3C"
"Łódzkie",4,0.15,0,0,4,100,0,0,"16-22","marzec","2022","11","3C"
"Małopolskie",18,0.23,0,0,17,94.4,1,5.6,"16-22","marzec","2022","11","3C"
"Mazowieckie",17,0.1,1,5.9,15,88.2,1,5.9,"16-22","marzec","2022","11","3C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","marzec","2022","11","3C"
"Podkarpackie",0,0,0,0,0,0,0,0,"16-22","marzec","2022","11","3C"
"Podlaskie",1,0.08,0,0,1,100,0,0,"16-22","marzec","2022","11","3C"
"Pomorskie",48,0.32,26,54.2,34,70.8,14,29.2,"16-22","marzec","2022","11","3C"
"Śląskie",13,0.17,0,0,13,100,0,0,"16-22","marzec","2022","11","3C"
"Świętokrzyskie",2,0.12,0,0,2,100,0,0,"16-22","marzec","2022","11","3C"
"Warmińsko-Mazurskie",25,1.58,0,0,25,100,0,0,"16-22","marzec","2022","11","3C"
"Wielkopolskie",22,0.17,0,0,21,95.5,1,4.5,"16-22","marzec","2022","11","3C"
"Zachodniopomorskie",5,0.56,0,0,3,60,2,40,"16-22","marzec","2022","11","3C"
"Dolnośląskie",16,0.28,0,0,16,100,0,0,"23-31","marzec","2022","12","3D"
"Kujawsko-Pomorskie",22,0.35,0,0,22,100,0,0,"23-31","marzec","2022","12","3D"
"Lubelskie",7,0.18,0,0,7,100,0,0,"23-31","marzec","2022","12","3D"
"Lubuskie",5,0.47,0,0,5,100,0,0,"23-31","marzec","2022","12","3D"
"Łódzkie",10,0.27,0,0,9,90,1,10,"23-31","marzec","2022","12","3D"
"Małopolskie",33,0.35,1,3,31,93.9,5,15.2,"23-31","marzec","2022","12","3D"
"Mazowieckie",58,0.25,2,3.4,56,96.6,0,0,"23-31","marzec","2022","12","3D"
"Opolskie",2,0.12,0,0,2,100,0,0,"23-31","marzec","2022","12","3D"
"Podkarpackie",8,0.54,0,0,8,100,0,0,"23-31","marzec","2022","12","3D"
"Podlaskie",4,0.26,0,0,4,100,0,0,"23-31","marzec","2022","12","3D"
"Pomorskie",19,0.1,0,0,19,100,0,0,"23-31","marzec","2022","12","3D"
"Śląskie",15,0.14,1,6.7,14,93.3,0,0,"23-31","marzec","2022","12","3D"
"Świętokrzyskie",26,1.21,0,0,26,100,1,3.8,"23-31","marzec","2022","12","3D"
"Warmińsko-Mazurskie",27,1.17,0,0,27,100,0,0,"23-31","marzec","2022","12","3D"
"Wielkopolskie",61,0.36,5,8.2,55,90.2,3,4.9,"23-31","marzec","2022","12","3D"
"Zachodniopomorskie",10,0.71,10,0,9,90,1,10,"23-31","marzec","2022","12","3D"
"Dolnośląskie",21,0.41,0,0,21,100,0,0,"1-7","kwiecień","2022","13","4A"
"Kujawsko-Pomorskie",22,0.4,0,0,22,100,0,0,"1-7","kwiecień","2022","13","4A"
"Lubelskie",4,0.14,0,0,3,75,1,25,"1-7","kwiecień","2022","13","4A"
"Lubuskie",2,0.23,0,0,2,100,0,0,"1-7","kwiecień","2022","13","4A"
"Łódzkie",5,0.18,0,0,5,100,0,0,"1-7","kwiecień","2022","13","4A"
"Małopolskie",15,0.2,0,0,14,93.3,1,6.7,"1-7","kwiecień","2022","13","4A"
"Mazowieckie",33,0.15,0,0,33,100,0,0,"1-7","kwiecień","2022","13","4A"
"Opolskie",3,0.21,0,0,3,100,0,0,"1-7","kwiecień","2022","13","4A"
"Podkarpackie",2,0.17,0,0,2,100,0,0,"1-7","kwiecień","2022","13","4A"
"Podlaskie",3,0.24,0,0,3,100,0,0,"1-7","kwiecień","2022","13","4A"
"Pomorskie",16,0.08,0,0,14,87.5,2,12.5,"1-7","kwiecień","2022","13","4A"
"Śląskie",16,0.17,1,6.3,13,81.3,2,12.5,"1-7","kwiecień","2022","13","4A"
"Świętokrzyskie",23,0.64,0,0,23,100,0,0,"1-7","kwiecień","2022","13","4A"
"Warmińsko-Mazurskie",24,1.44,0,0,24,100,0,0,"1-7","kwiecień","2022","13","4A"
"Wielkopolskie",56,0.3,0,0,48,85.7,8,14.3,"1-7","kwiecień","2022","13","4A"
"Zachodniopomorskie",15,0.93,0,0,13,86.7,9,60,"1-7","kwiecień","2022","13","4A"
"Dolnośląskie",128,2.03,0,0,97,75.8,34,26.6,"8-15","kwiecień","2022","14","4B"
"Kujawsko-Pomorskie",66,0.9,2,3,62,93.9,6,9.1,"8-15","kwiecień","2022","14","4B"
"Lubelskie",3,0.12,0,0,3,100,0,0,"8-15","kwiecień","2022","14","4B"
"Lubuskie",11,0.84,0,0,10,90.9,1,9.1,"8-15","kwiecień","2022","14","4B"
"Łódzkie",16,0.35,1,6.3,15,93.8,0,0,"8-15","kwiecień","2022","14","4B"
"Małopolskie",60,0.59,0,0,43,71.7,17,28.3,"8-15","kwiecień","2022","14","4B"
"Mazowieckie",80,0.35,0,0,75,93.8,5,6.3,"8-15","kwiecień","2022","14","4B"
"Opolskie",3,0.13,0,0,3,100,0,0,"8-15","kwiecień","2022","14","4B"
"Podkarpackie",16,1.14,0,0,15,93.8,1,6.3,"8-15","kwiecień","2022","14","4B"
"Podlaskie",11,0.87,0,0,8,72.7,3,27.3,"8-15","kwiecień","2022","14","4B"
"Pomorskie",23,0.1,0,0,21,91.3,2,8.7,"8-15","kwiecień","2022","14","4B"
"Śląskie",21,0.19,0,0,20,95.2,1,4.8,"8-15","kwiecień","2022","14","4B"
"Świętokrzyskie",35,2.3,0,0,31,88.6,4,11.4,"8-15","kwiecień","2022","14","4B"
"Warmińsko-Mazurskie",35,1.41,0,0,35,100,0,0,"8-15","kwiecień","2022","14","4B"
"Wielkopolskie",66,0.33,0,0,59,89.4,7,10.6,"8-15","kwiecień","2022","14","4B"
"Zachodniopomorskie",26,1.29,0,0,19,73.1,18,69.2,"8-15","kwiecień","2022","14","4B"
"Dolnośląskie",82,1.87,2,2.4,52,63.4,28,34.1,"16-22","kwiecień","2022","15","4C"
"Kujawsko-Pomorskie",33,0.59,1,3,26,78.8,6,18.2,"16-22","kwiecień","2022","15","4C"
"Lubelskie",6,0.23,1,16.7,5,83.3,0,0,"16-22","kwiecień","2022","15","4C"
"Lubuskie",10,1.09,0,0,9,90,2,20,"16-22","kwiecień","2022","15","4C"
"Łódzkie",19,0.52,0,0,19,100,0,0,"16-22","kwiecień","2022","15","4C"
"Małopolskie",54,0.86,0,0,40,74.1,14,25.9,"16-22","kwiecień","2022","15","4C"
"Mazowieckie",49,0.26,0,0,49,100,0,0,"16-22","kwiecień","2022","15","4C"
"Opolskie",2,0.17,0,0,2,100,0,0,"16-22","kwiecień","2022","15","4C"
"Podkarpackie",9,0.74,0,0,8,88.9,2,22.2,"16-22","kwiecień","2022","15","4C"
"Podlaskie",15,1.01,0,0,15,100,0,0,"16-22","kwiecień","2022","15","4C"
"Pomorskie",41,0.23,5,12.2,29,70.7,9,22,"16-22","kwiecień","2022","15","4C"
"Śląskie",53,0.52,1,1.9,46,86.8,12,22.6,"16-22","kwiecień","2022","15","4C"
"Świętokrzyskie",22,0.95,0,0,21,95.5,1,4.5,"16-22","kwiecień","2022","15","4C"
"Warmińsko-Mazurskie",32,1.66,0,0,32,100,0,0,"16-22","kwiecień","2022","15","4C"
"Wielkopolskie",73,0.44,0,0,72,98.6,1,1.4,"16-22","kwiecień","2022","15","4C"
"Zachodniopomorskie",23,1.32,0,0,22,95.7,7,30.4,"16-22","kwiecień","2022","15","4C"
"Dolnośląskie",49,1.15,0,0,33,67.3,17,34.7,"23-30","kwiecień","2022","16","4D"
"Kujawsko-Pomorskie",53,0.9,0,0,53,100,9,17,"23-30","kwiecień","2022","16","4D"
"Lubelskie",11,0.42,0,0,9,81.8,2,18.2,"23-30","kwiecień","2022","16","4D"
"Lubuskie",6,0.59,0,0,5,83.3,2,33.3,"23-30","kwiecień","2022","16","4D"
"Łódzkie",17,0.49,0,0,17,100,0,0,"23-30","kwiecień","2022","16","4D"
"Małopolskie",66,0.87,1,1.5,54,81.8,12,18.2,"23-30","kwiecień","2022","16","4D"
"Mazowieckie",30,0.25,2,6.7,27,90,1,3.3,"23-30","kwiecień","2022","16","4D"
"Opolskie",2,0.11,0,0,2,100,0,0,"23-30","kwiecień","2022","16","4D"
"Podkarpackie",22,1.9,0,0,22,100,0,0,"23-30","kwiecień","2022","16","4D"
"Podlaskie",4,0.35,0,0,4,100,0,0,"23-30","kwiecień","2022","16","4D"
"Pomorskie",95,0.55,0,0,87,91.6,8,8.4,"23-30","kwiecień","2022","16","4D"
"Śląskie",44,0.49,0,0,39,88.6,9,20.5,"23-30","kwiecień","2022","16","4D"
"Świętokrzyskie",27,1.78,0,0,24,88.9,3,11.1,"23-30","kwiecień","2022","16","4D"
"Warmińsko-Mazurskie",28,1.37,0,0,28,100,0,0,"23-30","kwiecień","2022","16","4D"
"Wielkopolskie",108,0.74,0,0,106,98.1,5,4.6,"23-30","kwiecień","2022","16","4D"
"Zachodniopomorskie",15,1.03,0,0,14,93.3,5,33.3,"23-30","kwiecień","2022","16","4D"
"Dolnośląskie",38,0.85,2,5.3,32,84.2,4,10.5,"1-7","maj","2022","17","5A"
"Kujawsko-Pomorskie",23,0.51,1,4.3,22,95.7,3,13,"1-7","maj","2022","17","5A"
"Lubelskie",3,0.12,0,0,3,100,0,0,"1-7","maj","2022","17","5A"
"Lubuskie",8,0.86,0,0,8,100,1,12.5,"1-7","maj","2022","17","5A"
"Łódzkie",33,0.75,0,0,33,100,0,0,"1-7","maj","2022","17","5A"
"Małopolskie",45,0.63,0,0,34,75.6,12,26.7,"1-7","maj","2022","17","5A"
"Mazowieckie",31,0.15,1,3.2,30,96.8,0,0,"1-7","maj","2022","17","5A"
"Opolskie",4,0.46,0,0,4,100,0,0,"1-7","maj","2022","17","5A"
"Podkarpackie",17,1.73,0,0,17,100,0,0,"1-7","maj","2022","17","5A"
"Podlaskie",12,1.08,0,0,11,91.7,1,8.3,"1-7","maj","2022","17","5A"
"Pomorskie",38,0.2,1,2.6,34,89.5,3,7.9,"1-7","maj","2022","17","5A"
"Śląskie",36,0.46,0,0,34,94.4,4,11.1,"1-7","maj","2022","17","5A"
"Świętokrzyskie",16,0.39,0,0,14,87.5,2,12.5,"1-7","maj","2022","17","5A"
"Warmińsko-Mazurskie",23,1.66,0,0,23,100,0,0,"1-7","maj","2022","17","5A"
"Wielkopolskie",79,0.69,0,0,76,96.2,3,3.8,"1-7","maj","2022","17","5A"
"Zachodniopomorskie",17,1.12,5.9,0,16,94.1,4,23.5,"1-7","maj","2022","17","5A"
"Dolnośląskie",37,1.27,0,0,32,86.5,5,13.5,"8-15","maj","2022","18","5B"
"Kujawsko-Pomorskie",33,0.71,1,3,28,84.8,7,21.2,"8-15","maj","2022","18","5B"
"Lubelskie",8,0.3,0,0,7,87.5,1,12.5,"8-15","maj","2022","18","5B"
"Lubuskie",14,1.82,0,0,14,100,4,28.6,"8-15","maj","2022","18","5B"
"Łódzkie",17,0.78,0,0,17,100,0,0,"8-15","maj","2022","18","5B"
"Małopolskie",82,1.24,0,0,77,93.9,6,7.3,"8-15","maj","2022","18","5B"
"Mazowieckie",26,0.2,0,0,18,69.2,8,30.8,"8-15","maj","2022","18","5B"
"Opolskie",2,0.17,0,0,2,100,0,0,"8-15","maj","2022","18","5B"
"Podkarpackie",29,2.69,0,0,28,96.6,1,3.4,"8-15","maj","2022","18","5B"
"Podlaskie",4,0.35,0,0,4,100,0,0,"8-15","maj","2022","18","5B"
"Pomorskie",61,0.35,0,0,53,86.9,8,13.1,"8-15","maj","2022","18","5B"
"Śląskie",30,0.43,0,0,24,80,6,20,"8-15","maj","2022","18","5B"
"Świętokrzyskie",32,1.79,0,0,29,90.6,3,9.4,"8-15","maj","2022","18","5B"
"Warmińsko-Mazurskie",11,0.72,0,0,11,100,0,0,"8-15","maj","2022","18","5B"
"Wielkopolskie",84,0.71,0,0,84,100,0,0,"8-15","maj","2022","18","5B"
"Zachodniopomorskie",30,2.25,0,0,29,96.7,4,13.3,"8-15","maj","2022","18","5B"
"Dolnośląskie",76,2.23,0,0,59,77.6,18,23.7,"16-22","maj","2022","19","5C"
"Kujawsko-Pomorskie",34,0.77,0,0,34,100,6,17.6,"16-22","maj","2022","19","5C"
"Lubelskie",3,0.15,0,0,1,33.3,2,66.7,"16-22","maj","2022","19","5C"
"Lubuskie",16,1.65,0,0,16,100,3,18.8,"16-22","maj","2022","19","5C"
"Łódzkie",22,0.84,0,0,22,100,0,0,"16-22","maj","2022","19","5C"
"Małopolskie",24,0.37,0,0,21,87.5,3,12.5,"16-22","maj","2022","19","5C"
