"woj","suma","w_0-4","w_5_14","w_15_64","w_65","tydz","data"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Lubelskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Lubuskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Łódzkie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Małopolskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Mazowieckie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Opolskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Podkarpackie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Podlaskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Pomorskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Śląskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_01C","16_do_22_stycznia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Lubelskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Lubuskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Łódzkie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Małopolskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Mazowieckie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Opolskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Podkarpackie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Podlaskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Pomorskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Śląskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_01D","23_do_31_stycznia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Lubelskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Lubuskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Łódzkie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Małopolskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Mazowieckie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Opolskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Podkarpackie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Podlaskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Pomorskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Śląskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Wielkopolskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_02A","1_do_7_lutego_2021"
"Dolnośląskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Lubelskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Lubuskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Łódzkie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Małopolskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Mazowieckie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Opolskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Podkarpackie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Podlaskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Pomorskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Śląskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Wielkopolskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_02B","8_do_15_lutego_2021"
"Dolnośląskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Lubelskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Lubuskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Łódzkie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Małopolskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Mazowieckie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Opolskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Podkarpackie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Podlaskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Pomorskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Śląskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Wielkopolskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_02C","16_do_22_lutego_2021"
"Dolnośląskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Lubelskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Lubuskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Łódzkie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Małopolskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Mazowieckie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Opolskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Podkarpackie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Podlaskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Pomorskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Śląskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Wielkopolskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_02D","23_do_28_lutego_2021"
"Dolnośląskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Lubelskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Lubuskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Łódzkie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Małopolskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Mazowieckie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Opolskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Podkarpackie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Podlaskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Pomorskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Śląskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Wielkopolskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_03A","1_do_7_marca_2021"
"Dolnośląskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Lubelskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Lubuskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Łódzkie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Małopolskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Mazowieckie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Opolskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Podkarpackie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Podlaskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Pomorskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Śląskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Wielkopolskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_03B","8_do_15_marca_2021"
"Dolnośląskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Lubelskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Lubuskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Łódzkie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Małopolskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Mazowieckie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Opolskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Podkarpackie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Podlaskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Pomorskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Śląskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Wielkopolskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_03C","16_do_22_marca_2021"
"Dolnośląskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Lubelskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Lubuskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Łódzkie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Małopolskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Mazowieckie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Opolskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Podkarpackie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Podlaskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Pomorskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Śląskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Wielkopolskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_03D","23_do_31_marca_2021"
"Dolnośląskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Lubelskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Lubuskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Łódzkie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Małopolskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Mazowieckie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Opolskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Podkarpackie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Podlaskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Pomorskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Śląskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_04A","1_do_7_kwietnia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Lubelskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Lubuskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Łódzkie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Małopolskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Mazowieckie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Opolskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Podkarpackie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Podlaskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Pomorskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Śląskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_04B","8_do_15_kwietnia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Lubelskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Lubuskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Łódzkie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Małopolskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Mazowieckie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Opolskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Podkarpackie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Podlaskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Pomorskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Śląskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_04C","16_do_22_kwietnia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Lubelskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Lubuskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Łódzkie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Małopolskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Mazowieckie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Opolskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Podkarpackie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Podlaskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Pomorskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Śląskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Wielkopolskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_04D","23_do_30_kwietnia_2021"
"Dolnośląskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Lubelskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Lubuskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Łódzkie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Małopolskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Mazowieckie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Opolskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Podkarpackie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Podlaskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Pomorskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Śląskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Wielkopolskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_05A","1_do_7_maja_2021"
"Dolnośląskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Lubelskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Lubuskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Łódzkie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Małopolskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Mazowieckie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Opolskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Podkarpackie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Podlaskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Pomorskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Śląskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Wielkopolskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_05B","8_do_15_maja_2021"
"Dolnośląskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Lubelskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Lubuskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Łódzkie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Małopolskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Mazowieckie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Opolskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Podkarpackie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Podlaskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Pomorskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Śląskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Wielkopolskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_05C","16_do_22_maja_2021"
"Dolnośląskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Lubelskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Lubuskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Łódzkie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Małopolskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Mazowieckie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Opolskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Podkarpackie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Podlaskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Pomorskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Śląskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Wielkopolskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_05D","23_do_31_maja_2021"
"Dolnośląskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Lubelskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Lubuskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Łódzkie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Małopolskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Mazowieckie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Opolskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Podkarpackie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Podlaskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Pomorskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Śląskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Świętokrzyskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Warmińsko-Mazurskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Wielkopolskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Zachodniopomorskie",0,0,0,0,0,"2021_06A","1_do_7_czerwca_2021"
"Dolnośląskie",0,0,0,0,0,"2021_06B","8_do_15_czerwca_2021"
"Kujawsko-Pomorskie",0,0,0,0,0,"2021_06B","8_do_15_czerwca_2021"
"Lubelskie",0,0,0,0,0,"2021_06B","8_do_15_czerwca_2021"
"Lubuskie",0,0,0,0,0,"2021_06B","8_do_15_czerwca_2021"
"Łódzkie",0,0,0,0,0,"2021_06B","8_do_15_czerwca_2021"
